id,xmin,xmax,ymin,ymax,sumid,sumid_2,sumAREA_M,sumPOPULACAO,sumareareal,sum%area,sumpop_real,count
400,329389.36257,330389.36257,7407187.56918,7408187.56918,800.00000,37.00000,10990856.29000,0.00000,1000000.00049,0.20424,0.00000,2.00000
401,330389.36257,331389.36257,7407187.56918,7408187.56918,802.00000,39.00000,5865758.33000,0.00000,753634.99756,0.22014,0.00000,2.00000
402,331389.36257,332389.36257,7407187.56918,7408187.56918,804.00000,41.00000,4164601.08000,0.00000,900523.97363,0.56250,0.00000,2.00000
403,332389.36257,333389.36257,7407187.56918,7408187.56918,1209.00000,63.00000,7659474.82000,53.00000,950236.17505,0.37015,3.91981,3.00000
404,333389.36257,334389.36257,7407187.56918,7408187.56918,404.00000,22.00000,3494873.74000,53.00000,999999.99951,0.28613,15.16507,1.00000
405,334389.36257,335389.36257,7407187.56918,7408187.56918,1620.00000,1244.00000,18432323.97000,236.00000,1000000.00000,0.94643,83.41654,4.00000
406,335389.36257,336389.36257,7407187.56918,7408187.56918,2842.00000,7694.00000,17056164.95000,851.00000,1000000.00049,0.86837,119.20759,7.00000
407,336389.36257,337389.36257,7407187.56918,7408187.56918,3256.00000,19182.00000,4934756.14000,4588.00000,999999.99951,3.12233,1464.67300,8.00000
408,337389.36257,338389.36257,7407187.56918,7408187.56918,6120.00000,47495.00000,2602799.50000,14592.00000,1000000.00000,6.42886,6398.92687,15.00000
409,338389.36257,339389.36257,7407187.56918,7408187.56918,10634.00000,88798.00000,2151848.05000,26636.00000,1000000.00049,14.46786,15687.19430,26.00000
410,339389.36257,340389.36257,7407187.56918,7408187.56918,4920.00000,15423.00000,3230749.98000,9203.00000,546802.58398,6.71946,5322.22819,12.00000
433,314389.36257,315389.36257,7406187.56918,7407187.56918,2165.00000,5179.00000,2206266.06000,2894.00000,428555.51465,2.93395,1840.72243,5.00000
434,315389.36257,316389.36257,7406187.56918,7407187.56918,7378.00000,127711.00000,6594706.68000,10982.00000,1000000.00000,9.36415,7699.38516,17.00000
435,316389.36257,317389.36257,7406187.56918,7407187.56918,10875.00000,436556.00000,2043747.30000,21862.00000,999999.99951,15.49895,13370.49902,25.00000
436,317389.36257,318389.36257,7406187.56918,7407187.56918,6104.00000,142999.00000,4665138.53000,9296.00000,1000000.00049,4.92714,3506.42973,14.00000
437,318389.36257,319389.36257,7406187.56918,7407187.56918,4370.00000,50649.00000,4545310.21000,5355.00000,999999.99951,4.87329,3381.44682,10.00000
438,319389.36257,320389.36257,7406187.56918,7407187.56918,4380.00000,21509.00000,6277217.32000,3932.00000,1000000.00000,2.74450,1231.07179,10.00000
439,320389.36257,321389.36257,7406187.56918,7407187.56918,11414.00000,158663.00000,3331276.57000,17419.00000,1000000.00049,13.74811,9316.85568,26.00000
440,321389.36257,322389.36257,7406187.56918,7407187.56918,10120.00000,139667.00000,4129232.23000,18431.00000,999999.99951,12.19198,10336.99717,23.00000
441,322389.36257,323389.36257,7406187.56918,7407187.56918,13230.00000,178960.00000,3064748.66000,32380.00000,1000000.00000,17.17377,19393.78828,30.00000
442,323389.36257,324389.36257,7406187.56918,7407187.56918,12376.00000,153334.00000,2081564.14000,13439.00000,1000000.00049,17.25366,6632.79576,28.00000
443,324389.36257,325389.36257,7406187.56918,7407187.56918,15505.00000,102912.00000,3015657.19000,28052.00000,999999.99951,21.07535,16159.54765,35.00000
444,325389.36257,326389.36257,7406187.56918,7407187.56918,11544.00000,49096.00000,9481376.10000,17440.00000,1000000.00000,13.25229,8064.07374,26.00000
445,326389.36257,327389.36257,7406187.56918,7407187.56918,5340.00000,27729.00000,7877529.79000,6391.00000,1000000.00049,4.58745,399.30444,12.00000
446,327389.36257,328389.36257,7406187.56918,7407187.56918,3568.00000,9377.00000,8334503.21000,5768.00000,999999.99951,1.91498,266.60513,8.00000
447,328389.36257,329389.36257,7406187.56918,7407187.56918,2682.00000,3687.00000,12720611.10000,158.00000,1000000.00049,1.63781,23.49671,6.00000
448,329389.36257,330389.36257,7406187.56918,7407187.56918,896.00000,601.00000,4965497.78000,152.00000,999999.99951,0.54921,56.49221,2.00000
449,330389.36257,331389.36257,7406187.56918,7407187.56918,2245.00000,1230.00000,9582416.27000,0.00000,1000000.00000,0.38580,0.00000,5.00000
450,331389.36257,332389.36257,7406187.56918,7407187.56918,1350.00000,627.00000,4232358.10000,0.00000,1000000.00049,0.42494,0.00000,3.00000
451,332389.36257,333389.36257,7406187.56918,7407187.56918,1804.00000,1220.00000,7240148.07000,445.00000,999999.99951,0.35420,3.99564,4.00000
452,333389.36257,334389.36257,7406187.56918,7407187.56918,2260.00000,2400.00000,3869269.41000,137.00000,1000000.00000,2.08465,40.91984,5.00000
453,334389.36257,335389.36257,7406187.56918,7407187.56918,6795.00000,19474.00000,6943132.55000,2323.00000,1000000.00049,6.04987,1087.85157,15.00000
454,335389.36257,336389.36257,7406187.56918,7407187.56918,4540.00000,26247.00000,4178678.95000,3768.00000,999999.99951,5.19354,2464.90454,10.00000
455,336389.36257,337389.36257,7406187.56918,7407187.56918,5915.00000,47996.00000,3553368.32000,7922.00000,1000000.00000,5.11046,3410.97455,13.00000
456,337389.36257,338389.36257,7406187.56918,7407187.56918,13224.00000,179836.00000,2546765.07000,24851.00000,1000000.00049,16.63461,13690.11234,29.00000
457,338389.36257,339389.36257,7406187.56918,7407187.56918,20565.00000,239452.00000,2399647.00000,40913.00000,999999.99951,27.68322,23752.63000,45.00000
458,339389.36257,340389.36257,7406187.56918,7407187.56918,5954.00000,18281.00000,1401260.22000,13487.00000,628226.66260,5.13790,5255.67988,13.00000
481,314389.36257,315389.36257,7405187.56918,7406187.56918,962.00000,1025.00000,1146002.01000,510.00000,191929.58911,0.31202,90.64767,2.00000
482,315389.36257,316389.36257,7405187.56918,7406187.56918,6748.00000,72497.00000,4864225.50000,10886.00000,1000000.00000,7.99804,7944.25139,14.00000
483,316389.36257,317389.36257,7405187.56918,7406187.56918,11109.00000,243052.00000,5029740.23000,13781.00000,1000000.00049,12.99476,6718.44844,23.00000
484,317389.36257,318389.36257,7405187.56918,7406187.56918,5324.00000,102238.00000,7504642.61000,4712.00000,999999.99951,4.29828,1868.66331,11.00000
485,318389.36257,319389.36257,7405187.56918,7406187.56918,1455.00000,2801.00000,3830605.36000,58.00000,1000000.00000,0.49717,20.53650,3.00000
486,319389.36257,320389.36257,7405187.56918,7406187.56918,2916.00000,9760.00000,5279090.99000,584.00000,1000000.00049,2.31577,106.52938,6.00000
487,320389.36257,321389.36257,7405187.56918,7406187.56918,11201.00000,106497.00000,2793226.58000,11722.00000,999999.99951,12.79084,6816.58886,23.00000
488,321389.36257,322389.36257,7405187.56918,7406187.56918,10248.00000,150310.00000,2005661.71000,16936.00000,1000000.00000,10.21395,8363.99393,21.00000
489,322389.36257,323389.36257,7405187.56918,7406187.56918,15159.00000,262587.00000,2879328.90000,22281.00000,1000000.00049,19.47704,13242.05461,31.00000
490,323389.36257,324389.36257,7405187.56918,7406187.56918,13720.00000,215343.00000,2830357.62000,14742.00000,999999.99951,16.70719,8955.66461,28.00000
491,324389.36257,325389.36257,7405187.56918,7406187.56918,21604.00000,298223.00000,2192223.77000,33268.00000,1000000.00049,28.35758,22487.42969,44.00000
492,325389.36257,326389.36257,7405187.56918,7406187.56918,18696.00000,202662.00000,1907983.92000,25408.00000,1000000.00000,17.85686,10450.85542,38.00000
493,326389.36257,327389.36257,7405187.56918,7406187.56918,23664.00000,264385.00000,2817743.46000,34804.00000,999999.99951,29.81909,21034.70552,48.00000
494,327389.36257,328389.36257,7405187.56918,7406187.56918,20748.00000,189549.00000,2518615.38000,31554.00000,1000000.00049,26.51417,19917.18778,42.00000
495,328389.36257,329389.36257,7405187.56918,7406187.56918,14850.00000,99434.00000,3298885.75000,15599.00000,999999.99951,15.30654,8885.47402,30.00000
496,329389.36257,330389.36257,7405187.56918,7406187.56918,10912.00000,50647.00000,6407756.90000,8529.00000,1000000.00000,8.63104,3944.91481,22.00000
497,330389.36257,331389.36257,7405187.56918,7406187.56918,11431.00000,38000.00000,10225568.72000,4970.00000,1000000.00049,10.95735,981.91397,23.00000
498,331389.36257,332389.36257,7405187.56918,7406187.56918,6474.00000,25591.00000,4104798.85000,3433.00000,999999.99951,7.30304,1608.29594,13.00000
499,332389.36257,333389.36257,7405187.56918,7406187.56918,4990.00000,11505.00000,8572122.68000,3267.00000,1000000.00000,2.84792,932.42866,10.00000
500,333389.36257,334389.36257,7405187.56918,7406187.56918,12000.00000,47872.00000,5673686.67000,11385.00000,1000000.00049,14.19004,6894.75782,24.00000
501,334389.36257,335389.36257,7405187.56918,7406187.56918,13527.00000,105924.00000,2144961.58000,12736.00000,999999.99951,14.06890,6529.97041,27.00000
502,335389.36257,336389.36257,7405187.56918,7406187.56918,19076.00000,231643.00000,2345549.09000,21618.00000,1000000.00000,26.97058,13552.19632,38.00000
503,336389.36257,337389.36257,7405187.56918,7406187.56918,16096.00000,179372.00000,3225962.34000,19050.00000,1000000.00049,18.30923,12255.51799,32.00000
